Question,Gender,Response,Percent
Ability to focus on work,Female,Better,53.8
Ability to focus on work,Female,Same,26.8
Ability to focus on work,Female,Worse,19.4
Ability to focus on work,Male,Better,53
Ability to focus on work,Male,Same,23.9
Ability to focus on work,Male,Worse,23.1
Productivity at Work,Female,Better,57.6
Productivity at Work,Female,Same,26.8
Productivity at Work,Female,Worse,15.6
Productivity at Work,Male,Better,51.5
Productivity at Work,Male,Same,29.1
Productivity at Work,Male,Worse,19.4
Work-Life Balance,Female,Better,64.5
Work-Life Balance,Female,Same,20.3
Work-Life Balance,Female,Worse,15.2
Work-Life Balance,Male,Better,69.4
Work-Life Balance,Male,Same,16.8
Work-Life Balance,Male,Worse,13.8
